VOA Reference,Property Description,Address1,Address2,Address3,Address4,Address5,Post Code,Empty Date
200003216811,RESTAURANT AND PREMISES,13-14 North Road,Durham,,,,DH1 4SG,20151223
200003216843,OFFICES AND PREMISES,The Whitehouse,Red Hill Villas,Durham,,,DH1 4BA,20160501
200003216906,LAND USED FOR STORAGE AND PREMISES,Rear,High Street North,Langley Moor,Durham,,DH7 8JG,20160401
200003216951,SHOP AND PREMISES,Stags  Head Buildings,Market Place,Esh Winning,Durham,,DH7 9HT,20161212
200003217014,OFFICES AND PREMISES,Consulting Room 4,Ground Floor,52 Old Elvet,Durham,,DH1 3HN,20160601
200003217029,OFFICES AND PREMISES,Robinsons Charered Surveyors,Old Elvet,Durham,,,DH1 3HN,20160601
200003217056,SHOP AND PREMISES,38c Front Street,Framwellgate Moor,Durham,,,DH1 5EE,20150829
200003217060,WORKSHOP AND PREMISES,Cottage 2,Fowlers Yard,Back Silver Street,Durham,,DH1 3RA,20170101
200003217070,OFFICE,22 Church Street West,Coxhoe,Durham,,,DH6 4HE,20001101
200003217129,WAREHOUSE AND PREMISES,Unit 13,Skillion Business Centre,Littleburn Lane,Langley Moor,Durham,DH7 8HG,20170127
200003217136,SHOP AND PREMISES,Discount Autoparts,1-2 Sunderland Road,Gilesgate,Durham,,DH1 2LH,20160824
200003217140,STORE AND PREMISES,Old Labour Hall Rear Of,Durham Road,Esh Winning,Durham,,DH7 9NR,20150317
200003217174,WORKSHOP AND PREMISES,Unit 5 at,1 St Johns Road,Meadowfield,Durham,,DH7 8TZ,20150614
200003217290,OFFICES AND PREMISES,The Gatehouse,Skillion Business Centre,Littleburn Lane,Langley Moor,Durham,DH7 8HG,20161117
200003219378,WORKSHOP AND PREMISES,Unit 20e,Beehive Workshops,Dragonville,Durham,,DH1 2XH,20161101
200003219518,STORE AND PREMISES,Unit S11,Dragonville Industrial Park,Gilesgate Moor,Durham,,DH1 2XJ,20160714
200003219639,OFFICES AND PREMISES,1st Floor,12 Market Place,Durham,,,DH1 3NE,20170101
200003219646,OFFICES AND PREMISES,Elvet  House,Hallgarth Street,Durham,,,DH1 3AT,20030401
200003220471,HAIRDRESSING SALON AND PREMISES,Near Davy Lamp Inn,Front Street,Kelloe,Durham,,DH6 4PQ,20150828
216550500,RECORDING STUDIO,Store,High Chare,Chester Le Street,Co Durham,,DH3 3PX,19900401
230370050001,COMMUNITY HUT AND PREMISES,Balderhead Reservoir,Hunderthwaite,Romaldkirk,Barnard Castle,Co Durham,DL12 9UX,20150302
244551000,WORKSHOP AND PREMISES,Garage,Industrial Estate,Kimblesworth,Chester Le Street,Durham,DH2 3QT,20050107
245052500,WORKSHOP AND PREMISES,Kimblesworth Industrial Estate,Kimblesworth,Chester Le Street,Co Durham,,DH2 3QT,19990901
245053002,STORE AND PREMISES,Kimblesworth,Chester Le Street,Co Durham,,,DH2 3QT,19970201
246550000,WORKSHOP AND PREMISES,Maintenance Hut,Kings Lane,Pelton,Chester Le Street,Co Durham,DH2 1DW,20031119
251553000,HISTORIC PROPERTY AND PREMISES,Lambton Castle,Lambton Park,Houghton Le Spring,Tyne & Wear,,DH3 4PR,20140324
273000606,OFFICES AND PREMISES,6 Lucy Street,Chester Le Street,Co Durham,,,DH3 3UP,20161117
294000300,OFFICES AND PREMISES,3 Middle Chare,Chester Le Street,Co Durham,,,DH3 4QD,
300148001000,PUBLIC HOUSE AND PREMISES,Three Horse Shoes,10 Copley,Bishop Auckland,Co Durham,,DL13 5LR,20050715
300152002900,KENNELS AND PREMISES,Glencrest,29 Copley Lane,Butterknowle,Bishop Auckland,Co Durham,DL13 5LW,20170301
300741050000,STORE AND PREMISES,The Old School House Stores,The Old School House,Lynesack,Butterknowle,Bishop Auckland Co Durha,DL13 5QF,20080905
300745050505,VISITOR CENTRE AND PREMISES,The Visitor Centre Stags Head,The Slack,Butterknowle,Bishop Auckland,Co Durham,DL13 3HU,20140712
304300950,SHOP AND PREMISES,10 Morton Crescent,Fence Houses,Houghton le Spring,Tyne and Wear ,,DH4 6AD,20160401
304302800,SHOP AND PREMISES,28 Morton Crescent,Fence Houses,Houghton le Spring,Tyne and Wear ,,DH4 6AD,20150917
308051000,SHOP AND PREMISES,Fish And Chip Shop,Murray Road,Chester Le Street,Co Durham,,DH2 2AT,19920703
310180059100,COMMUNICATION STATION AND PREMISES,Darlington Road,Barnard Castle,Co Durham,,,DL12 8HN,20120629
310315501533,WORKSHOP AND PREMISES,30B Harmire Enterprise Park,Harmire Road,Barnard Castle,Co Durham,,DL12 8BN,20170401
310315501535,OFFICES AND PREMISES,14B Harmire Enterprise Park,Harmire Road,Barnard Castle,Co Durham,,DL12 8BN,20170122
310455054001,HALL AND PREMISES,Saddlers Lane Community Centre,Marwood,Barnard Castle,Co Durham,,DL12 8SB,20090601
310617850000,WORKSHOP AND PREMISES,Shaw Bank,Barnard Castle,Co Durham,,,DL12 8TD,19960731
310617850500,OFFICES AND PREMISES,Shaw Bank,Barnard Castle,Co Durham,,,DL12 8TD,19960731
314552001,GARAGE AND PREMISES,R/O Magistrates Court,Newcastle Road,Chester Le Street,Co Durham,,DH3 3AU,20150401
319001501,OFFICES AND PREMISES,Suite 1,First Floor,16 North Burns,Chester Le Street,Co Durham,DH3 3TF,
319001507,OFFICES AND PREMISES,Suites 2 & 3,First Floor,16 North Burns,Chester Le Street,Co Durham,DH3 3TF,
319001606,OFFICES AND PREMISES,1st Floor,16a North Burns,Chester Le Street,Co Durham,,DH3 3TF,20151204
320057000202,AWAITING CT BANDING,Blackthorn Cottage,2 Bendle Terrace,Mickleton,Barnard Castle,Co Durham,DL12 0JU,20160613
326050000,OFFICES AND PREMISES,Oakdale House,Oakdale Terrace,Chester Le Street,Co Durham,,DH3 3DH,20151218
330086000800,UNECONOMIC TO REPAIR,Bridge Inn,8 Bridge Street,Middleton-In-Teesdale,Barnard Castle,Co Durham,DL12 0QB,20140127
330451053501,STORE AND PREMISES,Rear Of No 48,Market Place,Middleton-In-Teesdale,Barnard Castle,Co Durham,DL12 0RJ,19990401
339051505,WORKSHOP AND PREMISES,R/O Beamish Tyres,Ouston Lane,Ouston,Chester Le Street,Co Durham,DH2 1QT,20150226
350082050000,WORKSHOP,The Old Smithy,Bowlees,Newbiggin-In-Teesdale,Barnard Castle,Co Durham,DL12 0XF,20010501
360521053501,WORKSHOP,Fairview Building,Ovington,Richmond,North Yorkshire,,DL11 7BL,20160815
360521053502,WORKSHOP AND PREMISES,Fairview Garage,Ovington,Richmond,North Yorkshire,,DL11 7BL,20160815
374000101,SHOP AND PREMISES,Unit B,Old Coop Building,1 Plawsworth Road,Sacriston,Durham,DH7 6PD,20031130
374000301,SHOP AND PREMISES,Unit C,Old Coop Building,1 Plawsworth Road,Sacriston,Durham,DH7 6PD,20021029
374000500,SHOP AND PREMISES,Unit D,Old Coop Building,1 Plawsworth Road,Sacriston,Durham,DH7 6HJ,20020327
374000900,SHOP AND PREMISES,Unit F,Old Coop Building,1 Plawsworth Road,Sacriston,Durham,DH7 6PD,20050617
